"UMIS BILL ID";"Revenue Month";"Consumption (KWH)"
"14841580";"2024-12";"54.945"
"14841275";"2024-12";"46.247"
"14841019";"2024-12";"71.122"
"14841011";"2024-12";"55.557"
"14841933";"2024-12";"960"
"14841933";"2024-12";"1.244"
"14841933";"2024-12";"35.446"
"14841933";"2024-12";"33.785"
"14841933";"2024-12";"34.670"
"14841933";"2024-12";"28.693"
"14841933";"2024-12";"29.696"
"14841933";"2024-12";"30.566"
"14841933";"2024-12";"31.526"
"14841933";"2024-12";"35.677"
"14841933";"2024-12";"33.596"
"14841933";"2024-12";"33.145"
"14841933";"2024-12";"87.239"
"14841933";"2024-12";"31.803"
"14841933";"2024-12";"37.780"
"14841933";"2024-12";"79.384"
"14841933";"2024-12";"76.435"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841933";"2024-12";"0"
"14841565";"2024-12";"1.976"
"14841428";"2024-12";"1.148"
"14841595";"2024-12";"86.097"
"14841436";"2024-12";"73.665"
"14842050";"2024-12";"81.725"
"14841532";"2024-12";"77.065"
"14842108";"2024-12";"35.614"
"14841982";"2024-12";"25.288"
"14841858";"2024-12";"7.269"
"14841833";"2024-12";"17.857"
"14841243";"2024-12";"21.734"
"14841103";"2024-12";"13.986"
"14841570";"2024-12";"3.363"
"14841904";"2024-12";"8.899"
"14841857";"2024-12";"11.041"
"14841615";"2024-12";"15.926"
"14858565";"2024-12";"41.001,88"
"14858565";"2024-12";"0"
"14858565";"2024-12";"295.079,12"
"14858565";"2024-12";"0"
"14841201";"2024-12";"14.414"
"14842092";"2024-12";"27.305"
"14841659";"2024-12";"47.996"
"14841471";"2024-12";"32.251"
"14841300";"2024-12";"33.840"
"14841952";"2024-12";"0"
"14841952";"2024-12";"211.484"
"14841163";"2024-12";"114.301"
"14841855";"2024-12";"38.809"
"14841872";"2024-12";"1.706"
"14841456";"2024-12";"1.617"
"14841732";"2024-12";"1.768"
"14841587";"2024-12";"3.387"
"14842138";"2024-12";"2.900"
"14842011";"2024-12";"1.892"
"14841990";"2024-12";"522"
"14841754";"2024-12";"2.058"
"14841490";"2024-12";"1.942"
"14841222";"2024-12";"505"
"14841145";"2024-12";"2.916"
"14841017";"2024-12";"762"
"14841956";"2024-12";"3.896"
"14841801";"2024-12";"4.064"
"14841577";"2024-12";"8.404"
"14841287";"2024-12";"23"
"14841076";"2024-12";"11.878"
"14842198";"2024-12";"61.854"
"14841955";"2024-12";"1.627"
"14841014";"2024-12";"48.677"
"14841014";"2024-12";"42.627"
"14841014";"2024-12";"50.531"
"14841014";"2024-12";"51.495"
"14841014";"2024-12";"53.487"
"14841014";"2024-12";"48.692"
"14841014";"2024-12";"47.873"
"14841014";"2024-12";"46.654"
"14841014";"2024-12";"45.730"
"14841014";"2024-12";"45.573"
"14841014";"2024-12";"53.829"
"14841014";"2024-12";"51.115"
"14841014";"2024-12";"44.893"
"14841014";"2024-12";"71.098"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"16.107"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841014";"2024-12";"0"
"14841221";"2024-12";"79.624"
"14842074";"2024-12";"57.600"
"14842074";"2024-12";"51.400"
"14842074";"2024-12";"42.560"
"14842074";"2024-12";"0"
"14842074";"2024-12";"50.000"
"14842074";"2024-12";"37.600"
"14842074";"2024-12";"44.960"
"14842074";"2024-12";"29.120"
"14842074";"2024-12";"0"
"14842074";"2024-12";"0"
"14842074";"2024-12";"0"
"14842074";"2024-12";"0"
"14842074";"2024-12";"0"
"14842074";"2024-12";"0"
"14842074";"2024-12";"0"
"14842074";"2024-12";"0"
"14841621";"2024-12";"59.212"
"14841621";"2024-12";"28.168"
"14841621";"2024-12";"53.173"
"14841621";"2024-12";"22.588"
"14841621";"2024-12";"20.331"
"14841621";"2024-12";"26.204"
"14841621";"2024-12";"26.562"
"14841621";"2024-12";"57.279"
"14841621";"2024-12";"60.402"
"14841621";"2024-12";"24.299"
"14841621";"2024-12";"24.118"
"14841621";"2024-12";"19.989"
"14841621";"2024-12";"62.547"
"14841621";"2024-12";"60.316"
"14841621";"2024-12";"57.986"
"14841621";"2024-12";"55.731"
"14841621";"2024-12";"57.471"
"14841621";"2024-12";"58.878"
"14841621";"2024-12";"52.669"
"14841621";"2024-12";"63.096"
"14841621";"2024-12";"115.820"
"14841621";"2024-12";"64.705"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841621";"2024-12";"0"
"14841072";"2024-12";"0"
"14841072";"2024-12";"0"
"14841072";"2024-12";"0"
"14841072";"2024-12";"21.773"
"14841072";"2024-12";"22.436"
"14841072";"2024-12";"20.296"
"14841777";"2024-12";"21.399"
"14841777";"2024-12";"26.835"
"14841777";"2024-12";"25.063"
"14841777";"2024-12";"53.409"
"14841777";"2024-12";"42.637"
"14841777";"2024-12";"33.822"
"14841777";"2024-12";"21.925"
"14841777";"2024-12";"27.916"
"14841777";"2024-12";"22.388"
"14841777";"2024-12";"22.546"
"14841777";"2024-12";"30.077"
"14841777";"2024-12";"29.766"
"14841777";"2024-12";"23.242"
"14841777";"2024-12";"32.705"
"14841777";"2024-12";"24.848"
"14841777";"2024-12";"38.695"
"14841777";"2024-12";"36.626"
"14841777";"2024-12";"22.607"
"14841777";"2024-12";"24.582"
"14841777";"2024-12";"36.196"
"14841777";"2024-12";"24.415"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841777";"2024-12";"0"
"14841898";"2024-12";"118.121"
"14842195";"2024-12";"22.245"
"14841910";"2024-12";"34.448"
"14841799";"2024-12";"27.723"
"14841738";"2024-12";"484"
"14841419";"2024-12";"295"
"14858645";"2024-12";"0"
"14858645";"2024-12";"8.232,93"
"14858645";"2024-12";"0"
"14858645";"2024-12";"45.577,07"
"14841065";"2024-12";"11.173"
"14841341";"2024-12";"286"
"14841120";"2024-12";"27.383"
"14842140";"2024-12";"176"
"14842077";"2024-12";"132"
"14842024";"2024-12";"211"
"14841969";"2024-12";"154"
"14841965";"2024-12";"158"
"14841935";"2024-12";"0"
"14841867";"2024-12";"184"
"14841829";"2024-12";"183"
"14841813";"2024-12";"237"
"14841726";"2024-12";"324"
"14841670";"2024-12";"100"
"14841606";"2024-12";"330"
"14841584";"2024-12";"138"
"14841434";"2024-12";"159"
"14841431";"2024-12";"233"
"14841418";"2024-12";"271"
"14841405";"2024-12";"85"
"14841357";"2024-12";"666"
"14841311";"2024-12";"458"
"14841281";"2024-12";"213"
"14841280";"2024-12";"50.572"
"14841913";"2024-12";"18.934"
"14841416";"2024-12";"6.478"
"14841226";"2024-12";"5.976"
"14841053";"2024-12";"9.683"
"14841949";"2024-12";"29.094"
"14841869";"2024-12";"28.859"
"14841734";"2024-12";"76.640"
"14841435";"2024-12";"45.673"
"14841270";"2024-12";"76.458"
"14841883";"2024-12";"2.264"
"14841438";"2024-12";"5.827"
"14841414";"2024-12";"6.191"
"14841155";"2024-12";"6.913"
"14841039";"2024-12";"5.388"
"14841012";"2024-12";"5.500"
"14841966";"2024-12";"35.971"
"14841597";"2024-12";"59"
"14841113";"2024-12";"0"
"14841113";"2024-12";"164.967"
"14841995";"2024-12";"0"
"14841995";"2024-12";"156.658"
"14842062";"2024-12";"7.023"
"14841432";"2024-12";"31.200"
"14842160";"2024-12";"140.213"
"14842051";"2024-12";"98.471"
"14841415";"2024-12";"0"
"14841415";"2024-12";"172.882"
"14841351";"2024-12";"0"
"14841351";"2024-12";"174.378"
"14841071";"2024-12";"218.581"
"14841071";"2024-12";"0"
"14842139";"2024-12";"117.737"
"14842039";"2024-12";"59.215"
"14841360";"2024-12";"65.119"
"14841324";"2024-12";"66.739"
"14841295";"2024-12";"67.034"
"14841135";"2024-12";"71.174"
"14841062";"2024-12";"59.572"
"14842176";"2024-12";"42.086"
"14842000";"2024-12";"38.529"
"14841439";"2024-12";"38.264"
"14841426";"2024-12";"90.182"
"14842018";"2024-12";"15.794"
"14842018";"2024-12";"32.597"
"14842018";"2024-12";"8.197"
"14842018";"2024-12";"16.149"
"14842018";"2024-12";"29.132"
"14842018";"2024-12";"32.352"
"14842018";"2024-12";"9.720"
"14842018";"2024-12";"28.124"
"14842018";"2024-12";"28.796"
"14842018";"2024-12";"32.718"
"14842018";"2024-12";"10.650"
"14842018";"2024-12";"9.851"
"14842018";"2024-12";"12.237"
"14842018";"2024-12";"28.867"
"14842018";"2024-12";"8.171"
"14842018";"2024-12";"16.696"
"14842018";"2024-12";"26.679"
"14842018";"2024-12";"9.049"
"14842018";"2024-12";"10.067"
"14842018";"2024-12";"10.625"
"14842018";"2024-12";"15.701"
"14842018";"2024-12";"15.729"
"14842018";"2024-12";"16.331"
"14842018";"2024-12";"39.478"
"14842018";"2024-12";"40.455"
"14842018";"2024-12";"33.570"
"14842018";"2024-12";"32.599"
"14842018";"2024-12";"15.848"
"14842018";"2024-12";"52.114"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14842018";"2024-12";"0"
"14841327";"2024-12";"19.296"
"14841087";"2024-12";"241"
"14841698";"2024-12";"46.344"
"14841868";"2024-12";"97.062"
"14841793";"2024-12";"102.256"
"14841394";"2024-12";"101.952"
"14842192";"2024-12";"345"
"14842126";"2024-12";"3.333"
"14842114";"2024-12";"4.735"
"14842049";"2024-12";"2.299"
"14841781";"2024-12";"2.871"
"14841709";"2024-12";"2.394"
"14841677";"2024-12";"2.197"
"14841555";"2024-12";"3.346"
"14841508";"2024-12";"1.689"
"14841257";"2024-12";"0"
"14841404";"2024-12";"21.663"
"14842030";"2024-12";"0"
"14842030";"2024-12";"249.533"
"14841976";"2024-12";"87.229"
"14841959";"2024-12";"70.522"
"14841876";"2024-12";"6.787"
"14841654";"2024-12";"75.328"
"14841626";"2024-12";"2.644"
"14841569";"2024-12";"82.179"
"14841496";"2024-12";"109.652"
"14841846";"2024-12";"6.804"
"14841804";"2024-12";"6.175"
"14841660";"2024-12";"5.746"
"14842042";"2024-12";"12.628"
"14861419";"2024-12";"0"
"14861419";"2024-12";"0"
"14861419";"2024-12";"0"
"14841033";"2024-12";"44.085"
"14841585";"2024-12";"6.199"
"14841185";"2024-12";"36.047"
"14841185";"2024-12";"44.919"
"14841185";"2024-12";"33.871"
"14841185";"2024-12";"43.092"
"14841185";"2024-12";"63.412"
"14841185";"2024-12";"42.763"
"14841185";"2024-12";"81.709"
"14841185";"2024-12";"38.748"
"14841185";"2024-12";"41.616"
"14841185";"2024-12";"60.778"
"14841185";"2024-12";"45.432"
"14841185";"2024-12";"40.884"
"14841185";"2024-12";"37.212"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841185";"2024-12";"0"
"14841385";"2024-12";"33.584"
"14842121";"2024-12";"33.108"
"14842110";"2024-12";"63.682"
"14841964";"2024-12";"47.695"
"14841912";"2024-12";"71.171"
"14841173";"2024-12";"78.958"
"14841035";"2024-12";"21.769"
"14842003";"2024-12";"2.986"
"14842002";"2024-12";"3.041"
"14841674";"2024-12";"2.882"
"14841596";"2024-12";"3.335"
"14841138";"2024-12";"1.942"
"14841093";"2024-12";"2.668"
"14841040";"2024-12";"2.772"
"14842076";"2024-12";"3.420"
"14841442";"2024-12";"2.747"
"14841356";"2024-12";"4.553"
"14841136";"2024-12";"3.347"
"14841009";"2024-12";"2.788"
"14842069";"2024-12";"151"
"14841800";"2024-12";"10.831"
"14841571";"2024-12";"9.884"
"14841535";"2024-12";"9.161"
"14841487";"2024-12";"0"
"14841487";"2024-12";"507.864"
"14841402";"2024-12";"17.832"
"14841339";"2024-12";"9.265"
"14841236";"2024-12";"15.692"
"14841236";"2024-12";"19.969"
"14841236";"2024-12";"10.621"
"14841236";"2024-12";"22.206"
"14841236";"2024-12";"17.269"
"14841236";"2024-12";"25.749"
"14841236";"2024-12";"10.717"
"14841236";"2024-12";"49.885"
"14841236";"2024-12";"11.896"
"14841236";"2024-12";"9.895"
"14841236";"2024-12";"20.272"
"14841236";"2024-12";"26.345"
"14841236";"2024-12";"14.386"
"14841236";"2024-12";"10.149"
"14841236";"2024-12";"24.942"
"14841236";"2024-12";"22.268"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841236";"2024-12";"0"
"14841865";"2024-12";"11.413"
"14841865";"2024-12";"17.318"
"14841865";"2024-12";"14.786"
"14841865";"2024-12";"11.376"
"14841865";"2024-12";"12.652"
"14841865";"2024-12";"15.688"
"14841865";"2024-12";"14.060"
"14841865";"2024-12";"14.874"
"14841865";"2024-12";"15.168"
"14841865";"2024-12";"10.613"
"14841865";"2024-12";"13.386"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14841865";"2024-12";"0"
"14842119";"2024-12";"7.680"
"14841877";"2024-12";"34"
"14841728";"2024-12";"7.672"
"14841578";"2024-12";"3.898"
"14841430";"2024-12";"5.032"
"14841301";"2024-12";"119"
"14841741";"2024-12";"234.296"
"14841741";"2024-12";"0"
"14842116";"2024-12";"64.679"
"14842116";"2024-12";"46.155"
"14842116";"2024-12";"44.998"
"14842116";"2024-12";"49.094"
"14842116";"2024-12";"53.667"
"14842116";"2024-12";"30.762"
"14842116";"2024-12";"47.055"
"14842116";"2024-12";"49.765"
"14842116";"2024-12";"49.254"
"14842116";"2024-12";"54.160"
"14842116";"2024-12";"49.325"
"14842116";"2024-12";"48.314"
"14842116";"2024-12";"47.157"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842116";"2024-12";"0"
"14842046";"2024-12";"23.987"
"14841824";"2024-12";"24.670"
"14841824";"2024-12";"23.353"
"14841824";"2024-12";"28.407"
"14841824";"2024-12";"25.394"
"14841824";"2024-12";"22.193"
"14841824";"2024-12";"27.064"
"14841824";"2024-12";"24.685"
"14841824";"2024-12";"35.219"
"14841824";"2024-12";"20.512"
"14841824";"2024-12";"22.943"
"14841824";"2024-12";"23.625"
"14841824";"2024-12";"28.304"
"14841824";"2024-12";"24.965"
"14841824";"2024-12";"27.112"
"14841824";"2024-12";"28.337"
"14841824";"2024-12";"41.426"
